ActivityID,ActivityName
b6d88d72-98ef-11e9-b806-0028f8be90af,Clay_Placement_S11_B02
b6d88d73-98ef-11e9-a0ad-0028f8be90af,Clay_Placement_S12_B01
b6d88d74-98ef-11e9-9d9f-0028f8be90af,Clay_Placement_S12_B02
b6d88d75-98ef-11e9-814a-0028f8be90af,Clay_Placement_S13_B01
b6d88d76-98ef-11e9-8071-0028f8be90af,Clay_Placement_S13_B02
b6d88d77-98ef-11e9-b9cf-0028f8be90af,Clay_Placement_S14_B01
b6d88d78-98ef-11e9-b33e-0028f8be90af,Clay_Placement_S14_B02
b6d88d79-98ef-11e9-be3d-0028f8be90af,Clay_Placement_S15_B01
b6d88d7a-98ef-11e9-846b-0028f8be90af,Clay_Placement_S15_B02
b6d88d7b-98ef-11e9-a9f6-0028f8be90af,Clay_Placement_S16_B01
b6d88d7c-98ef-11e9-a361-0028f8be90af,Clay_Placement_S16_B02
b6d88d7d-98ef-11e9-a8e6-0028f8be90af,Clay_Placement_S17_B01
b6d88d7e-98ef-11e9-a218-0028f8be90af,Clay_Placement_S17_B02
b6d88d7f-98ef-11e9-8d17-0028f8be90af,Clay_Placement_S18_B01
b6d88d80-98ef-11e9-957f-0028f8be90af,Clay_Placement_S18_B02
b6d88d81-98ef-11e9-a8f9-0028f8be90af,Clay_Placement_S19_B01
b6d88d82-98ef-11e9-ab48-0028f8be90af,Clay_Placement_S19_B02
b6d88d83-98ef-11e9-a36f-0028f8be90af,Clay_Placement_S20_B01
b6d88d84-98ef-11e9-a58d-0028f8be90af,Clay_Placement_S20_B02
b6dad768-98ef-11e9-b417-0028f8be90af,Sand_Placement_S01
b6dad769-98ef-11e9-83fe-0028f8be90af,Sand_Placement_S02
b6dad76a-98ef-11e9-abe3-0028f8be90af,Sand_Placement_S03
b6dad76b-98ef-11e9-81e7-0028f8be90af,Sand_Placement_S04
b6dad76c-98ef-11e9-9d20-0028f8be90af,Sand_Placement_S05
b6dad76d-98ef-11e9-854b-0028f8be90af,Sand_Placement_S06
b6dad76e-98ef-11e9-be36-0028f8be90af,Sand_Placement_S07
b6dad76f-98ef-11e9-805a-0028f8be90af,Sand_Placement_S08
b6dad770-98ef-11e9-a1f4-0028f8be90af,Sand_Placement_S09
