ActivityID,EquipmentID,ActivityFunction
b6d88d7a-98ef-11e9-846b-0028f8be90af,b6d531db-98ef-11e9-8f89-0028f8be90af,Mover
b6d88d7a-98ef-11e9-846b-0028f8be90af,b6d531d9-98ef-11e9-a593-0028f8be90af,Unloader
b6d88d7b-98ef-11e9-a9f6-0028f8be90af,b6d531d8-98ef-11e9-b895-0028f8be90af,Loader
b6d88d7b-98ef-11e9-a9f6-0028f8be90af,b6d531da-98ef-11e9-b7a2-0028f8be90af,Mover
b6d88d7b-98ef-11e9-a9f6-0028f8be90af,b6d531d9-98ef-11e9-a593-0028f8be90af,Unloader
b6d88d7c-98ef-11e9-a361-0028f8be90af,b6d531d8-98ef-11e9-b895-0028f8be90af,Loader
b6d88d7c-98ef-11e9-a361-0028f8be90af,b6d531db-98ef-11e9-8f89-0028f8be90af,Mover
b6d88d7c-98ef-11e9-a361-0028f8be90af,b6d531d9-98ef-11e9-a593-0028f8be90af,Unloader
b6d88d7d-98ef-11e9-a8e6-0028f8be90af,b6d531d8-98ef-11e9-b895-0028f8be90af,Loader
b6d88d7d-98ef-11e9-a8e6-0028f8be90af,b6d531da-98ef-11e9-b7a2-0028f8be90af,Mover
b6d88d7d-98ef-11e9-a8e6-0028f8be90af,b6d531d9-98ef-11e9-a593-0028f8be90af,Unloader
b6d88d7e-98ef-11e9-a218-0028f8be90af,b6d531d8-98ef-11e9-b895-0028f8be90af,Loader
b6d88d7e-98ef-11e9-a218-0028f8be90af,b6d531db-98ef-11e9-8f89-0028f8be90af,Mover
b6d88d7e-98ef-11e9-a218-0028f8be90af,b6d531d9-98ef-11e9-a593-0028f8be90af,Unloader
b6d88d7f-98ef-11e9-8d17-0028f8be90af,b6d531d8-98ef-11e9-b895-0028f8be90af,Loader
b6d88d7f-98ef-11e9-8d17-0028f8be90af,b6d531da-98ef-11e9-b7a2-0028f8be90af,Mover
b6d88d7f-98ef-11e9-8d17-0028f8be90af,b6d531d9-98ef-11e9-a593-0028f8be90af,Unloader
b6d88d80-98ef-11e9-957f-0028f8be90af,b6d531d8-98ef-11e9-b895-0028f8be90af,Loader
b6d88d80-98ef-11e9-957f-0028f8be90af,b6d531db-98ef-11e9-8f89-0028f8be90af,Mover
b6d88d80-98ef-11e9-957f-0028f8be90af,b6d531d9-98ef-11e9-a593-0028f8be90af,Unloader
b6d88d81-98ef-11e9-a8f9-0028f8be90af,b6d531d8-98ef-11e9-b895-0028f8be90af,Loader
b6d88d81-98ef-11e9-a8f9-0028f8be90af,b6d531da-98ef-11e9-b7a2-0028f8be90af,Mover
b6d88d81-98ef-11e9-a8f9-0028f8be90af,b6d531d9-98ef-11e9-a593-0028f8be90af,Unloader
b6d88d82-98ef-11e9-ab48-0028f8be90af,b6d531d8-98ef-11e9-b895-0028f8be90af,Loader
b6d88d82-98ef-11e9-ab48-0028f8be90af,b6d531db-98ef-11e9-8f89-0028f8be90af,Mover
b6d88d82-98ef-11e9-ab48-0028f8be90af,b6d531d9-98ef-11e9-a593-0028f8be90af,Unloader
